No.,Column Name,Use,Description
38,`Code_Paved`,`L`,"Code for Paved surface characteristics Provides the link to column 1 of `SUEWS_NonVeg.txt`, which contains the attributes describing paved areas in this grid for this year. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_NonVeg.txt`. e.g. 331 means use the characteristics specified in the row of input file `SUEWS_NonVeg.txt` which has 331 in column 1 (Code). "
39,`Code_Bldgs`,`L`,"Code for Bldgs surface characteristics Provides the link to column 1 of `SUEWS_NonVeg.txt`, which contains the attributes describing buildings in this grid for this year. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_NonVeg.txt`. "
40,`Code_EveTr`,`L`,"Code for EveTr surface characteristics Provides the link to column 1 of `SUEWS_Veg.txt`, which contains the attributes describing evergreen trees and shrubs in this grid for this year. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Veg.txt`. "
41,`Code_DecTr`,`L`,"Code for DecTr surface characteristics Provides the link to column 1 of `SUEWS_Veg.txt`, which contains the attributes describing deciduous trees and shrubs in this grid for this year. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Veg.txt`. "
42,`Code_Grass`,`L`,"Code for Grass surface characteristics Provides the link to column 1 of `SUEWS_Veg.txt`, which contains the attributes describing grass surfaces in this grid for this year. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Veg.txt`. "
43,`Code_BSoil`,`L`,"Code for BSoil surface characteristics Provides the link to column 1 of `SUEWS_NonVeg.txt`, which contains the attributes describing bare soil in this grid for this year. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_NonVeg.txt`. "
44,`Code_Water`,`L`,"Code for Water surface characteristics Provides the link to column 1 of `SUEWS_Water.txt`, which contains the attributes describing open water in this grid for this year. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Water.txt`. "
45,`LUMPS_DrRate`,`MD`,Drainage rate of bucket for LUMPS [mm |h^-1|] Used for LUMPS surface wetness control. Default recommended value of 0.25 mm |h^-1| from Loridan et al. (2011) [L2011]_ .
46,`LUMPS_Cover`,`MD`,Limit when surface totally covered with water [mm] Used for LUMPS surface wetness control. Default recommended value of 1 mm from Loridan et al. (2011) [L2011]_ .
47,`LUMPS_MaxRes`,`MD`,Maximum water bucket reservoir [mm] Used for LUMPS surface wetness control. Default recommended value of 10 mm from Loridan et al. (2011) [L2011]_ .
48,`NARP_Trans`,`MD`,Atmospheric transmissivity for NARP [-] Value must in the range 0-1. Default recommended value of 1.
49,`CondCode`,`L`,"Code for surface conductance parameters Provides the link to column 1 of `SUEWS_Conductance.txt`, which contains the parameters for the Jarvis (1976) parameterisation of surface conductance. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Conductance.txt`. e.g. 33 means use the characteristics specified in the row of input file `SUEWS_Conductance.txt` which has 33 in column 1 (Code). "
50,`SnowCode`,`L`,"Code for snow surface characteristics Provides the link to column 1 of `SUEWS_Snow.txt`, which contains the attributes describing snow surfaces in this grid for this year. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Snow.txt`. "
51,`SnowClearingProfWD`,`L`,Code for snow clearing profile (weekdays) Provides the link to column 1 of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Profiles.txt`. e.g. 1 means use the characteristics specified in the row of input file `SUEWS_Profiles.txt` which has 1 in column 1 (Code).
52,`SnowClearingProfWE`,`L`,"Code for snow clearing profile (weekends) Provides the link to column 1 of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Profiles.txt`. e.g. 1 means use the characteristics specified in the row of input file `SUEWS_Profiles.txt` which has 1 in column 1 (Code). Providing the same code for `SnowClearingProfWD` and `SnowClearingProfWE` would link to the same row in `SUEWS_Profiles.txt`, i.e. the same profile would be used for weekdays and weekends. "
53,`AnthropogenicCode`,`L`,"Code for modelling anthropogenic heat flux Provides the link to column 1 of `SUEWS_AnthropogenicHeat.txt`, which contains the model coefficients for estimation of the anthropogenic heat flux (used if `EmissionsMethod` = 1, 2, 3 in `RunControl.nml` ). Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_AnthropogenicHeat.txt`. "
54,`IrrigationCode`,`L`,"Code for modelling irrigation Provides the link to column 1 of SUEWS_Irrigation.txt, which contains the model coefficients for estimation of the water use (used if WU_Choice = 0 in `RunControl.nml` ). Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Irrigation.txt. "
55,`WaterUseProfManuWD`,`L`,"Code for water use profile (manual irrigation, weekdays) Provides the link to column 1 of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Profiles.txt`. "
56,`WaterUseProfManuWE`,`L`,"Code for water use profile (manual irrigation, weekends) Provides the link to column 1 of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Profiles.txt`. "
57,`WaterUseProfAutoWD`,`L`,"Code for water use profile (automatic irrigation, weekdays) Provides the link to column 1 of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Profiles.txt`. "
58,`WaterUseProfAutoWE`,`L`,"Code for water use profile (automatic irrigation, weekends) Provides the link to column 1 of `SUEWS_Profiles.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_Profiles.txt`. "
59,`FlowChange`,`MD`,Difference in input and output flows for water surface [mm |h^-1|] Used to indicate river or stream flow through the grid. Currently not fully tested!
60,`RunoffToWater`,`MD` `MU`,Fraction of above-ground runoff flowing to water surface during flooding [-] Value must be in the range 0-1. Fraction of above-ground runoff that can flow to the water surface in the case of flooding.
61,`PipeCapacity`,`MD` `MU`,Storage capacity of pipes [mm] Runoff amounting to less than the value specified here is assumed to be removed by pipes.
62,`GridConnection1of8`,`MD` `MU`,"The next 8 pairs of columns specify the water flow between grids. The first column of each pair specifies the grid that the water flows to (from the current grid, column 1); the second column of each pair specifies the fraction of water that flow to that grid. The fraction (i.e. amount) of water transferred may be estimated based on elevation, the length of connecting surface between grids, presence of walls, etc. Water cannot flow from the current grid to the same grid, so the grid number here must be different to the grid number in column 1. Water can flow to a maximum of 8 other grids. If there is no water flow between grids, or a single grid is run, set to 0. See section on Grid Connections"
63,`Fraction1of8`,`MD` `MU`,Fraction of water that can flow to the grid specified in previous column [-]
64,`GridConnection2of8`,`MD` `MU`,Number of the grid where water can flow to
65,`Fraction2of8`,`MD` `MU`,Fraction of water that can flow to the grid specified in previous column [-]
66,`GridConnection3of8`,`MD` `MU`,Number of the grid where water can flow to
67,`Fraction3of8`,`MD` `MU`,Fraction of water that can flow to the grid specified in previous column [-]
68,`GridConnection4of8`,`MD` `MU`,Number of the grid where water can flow to
69,`Fraction4of8`,`MD` `MU`,Fraction of water that can flow to the grid specified in previous column [-]
70,`GridConnection5of8`,`MD` `MU`,Number of the grid where water can flow to
71,`Fraction5of8`,`MD` `MU`,Fraction of water that can flow to the grid specified in previous column [-]
72,`GridConnection6of8`,`MD` `MU`,Number of the grid where water can flow to
73,`Fraction6of8`,`MD` `MU`,Fraction of water that can flow to the grid specified in previous column [-]
74,`GridConnection7of8`,`MD` `MU`,Number of the grid where water can flow to
75,`Fraction7of8`,`MD` `MU`,Fraction of water that can flow to the grid specified in previous column [-]
76,`GridConnection8of8`,`MD` `MU`,Number of the grid where water can flow to
77,`Fraction8of8`,`MD` `MU`,Fraction of water that can flow to the grid specified in previous column [-]
78,`WithinGridPavedCode`,`L`,Code that links to the fraction of water that flows from Paved surfaces to surfaces in columns 2-10 of `SUEWS_WithinGridWaterDist.txt` . Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_WithinGridWaterDist.txt`.
79,`WithinGridBldgsCode`,`L`,Code that links to the fraction of water that flows from Bldgs surfaces to surfaces in columns 2-10 of `SUEWS_WithinGridWaterDist.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_WithinGridWaterDist.txt`.
80,`WithinGridEveTrCode`,`L`,Code that links to the fraction of water that flows from EveTr surfaces to surfaces in columns 2-10 of `SUEWS_WithinGridWaterDist.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_WithinGridWaterDist.txt`.
81,`WithinGridDecTrCode`,`L`,Code that links to the fraction of water that flows from DecTr surfaces to surfaces in columns 2-10 of `SUEWS_WithinGridWaterDist.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_WithinGridWaterDist.txt`.
82,`WithinGridGrassCode`,`L`,Code that links to the fraction of water that flows from Grass surfaces to surfaces in columns 2-10 of `SUEWS_WithinGridWaterDist.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_WithinGridWaterDist.txt`.
83,`WithinGridBSoilCode`,`L`,Code that links to the fraction of water that flows from BSoil surfaces to surfaces in columns 2-10 of `SUEWS_WithinGridWaterDist.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_WithinGridWaterDist.txt`.
84,`WithinGridWaterCode`,`L`,Code that links to the fraction of water that flows from Water surfaces to surfaces in columns 2-10 of `SUEWS_WithinGridWaterDist.txt`. Value of integer is arbitrary but must match code specified in column 1 of `SUEWS_WithinGridWaterDist.txt`.
85,`AreaWall`,`MU`,Area of wall within grid (needed for ESTM calculation).
86,`Fr_ESTMClass_Paved1`,`MU`,Surface cover fraction of paved surface class 1 used in ESTM calculations
87,`Fr_ESTMClass_Paved2`,`MU`,Surface cover fraction of paved surface class 2 used in ESTM calculations
88,`Fr_ESTMClass_Paved3`,`MU`,Surface cover fraction of paved surface class 3 used in ESTM calculations
89,`Code_ESTMClass_Paved1`,`L`,Code linking to `SUEWS_ESTMCoefficients.txt`
90,`Code_ESTMClass_Paved2`,`L`,Code linking to `SUEWS_ESTMCoefficients.txt`
91,`Code_ESTMClass_Paved3`,`L`,Code linking to `SUEWS_ESTMCoefficients.txt`
92,`Fr_ESTMClass_Bldgs1`,`MU`,Surface cover fraction of building class 1 used in ESTM calculations
93,`Fr_ESTMClass_Bldgs2`,`MU`,Surface cover fraction of building class 2 used in ESTM calculations
94,`Fr_ESTMClass_Bldgs3`,`MU`,Surface cover fraction of building class 3 used in ESTM calculations
95,`Fr_ESTMClass_Bldgs4`,`MU`,Surface cover fraction of building class 4 used in ESTM calculations
96,`Fr_ESTMClass_Bldgs5`,`MU`,Surface cover fraction of building class 5 used in ESTM calculations
97,`Code_ESTMClass_Bldgs1`,`L`,Code linking to `SUEWS_ESTMCoefficients.txt`
98,`Code_ESTMClass_Bldgs2`,`L`,Code linking to `SUEWS_ESTMCoefficients.txt`
99,`Code_ESTMClass_Bldgs3`,`L`,Code linking to `SUEWS_ESTMCoefficients.txt`
100,`Code_ESTMClass_Bldgs4`,`L`,Code linking to `SUEWS_ESTMCoefficients.txt`
101,`Code_ESTMClass_Bldgs5`,`L`,Code linking to `SUEWS_ESTMCoefficients.txt`
